Date,category,item,unit,min_price,max_price
2021-05-17,Miscellaneous,Sugar,per kg,70,75
2021-05-18,Miscellaneous,Sugar,per kg,70,75
2021-05-20,Miscellaneous,Sugar,per kg,70,75
2021-05-21,Miscellaneous,Sugar,per kg,70,75
2021-05-22,Miscellaneous,Sugar,per kg,70,75
2021-05-23,Miscellaneous,Sugar,per kg,73,75
2021-05-23,Miscellaneous,Sugar,per kg,73,75
2021-05-24,Miscellaneous,Sugar,per kg,73,75
2021-05-25,Miscellaneous,Sugar,per kg,73,75
2021-05-29,Miscellaneous,Sugar,per kg,70,75
2021-05-30,Miscellaneous,Sugar,per kg,70,75
2021-05-31,Miscellaneous,Sugar,per kg,73,75
2021-06-01,Miscellaneous,Sugar,per kg,73,75
2021-06-05,Miscellaneous,Sugar,per kg,70,75
2021-06-06,Miscellaneous,Sugar,per kg,70,75
2021-06-08,Miscellaneous,Sugar,per kg,70,75
2021-06-09,Miscellaneous,Sugar,per kg,70,75
2021-06-12,Miscellaneous,Sugar,per kg,70,75
2021-06-13,Miscellaneous,Sugar,per kg,68,70
2021-06-14,Miscellaneous,Sugar,per kg,68,70
2021-06-15,Miscellaneous,Sugar,per kg,68,70
2021-06-16,Miscellaneous,Sugar,per kg,68,70
2021-06-18,Miscellaneous,Sugar,per kg,68,70
2021-06-19,Miscellaneous,Sugar,per kg,68,70
2021-06-20,Miscellaneous,Sugar,per kg,68,70
2021-06-21,Miscellaneous,Sugar,per kg,68,70
2021-06-22,Miscellaneous,Sugar,per kg,68,70
2021-06-23,Miscellaneous,Sugar,per kg,68,70
2021-06-26,Miscellaneous,Sugar,per kg,68,72
2021-06-27,Miscellaneous,Sugar,per kg,70,72
2021-06-28,Miscellaneous,Sugar,per kg,70,72
2021-06-29,Miscellaneous,Sugar,per kg,70,72
2021-06-30,Miscellaneous,Sugar,per kg,68,72
2021-07-01,Miscellaneous,Sugar,per kg,68,72
2021-07-02,Miscellaneous,Sugar,per kg,68,70
2021-07-03,Miscellaneous,Sugar,per kg,68,72
2021-07-04,Miscellaneous,Sugar,per kg,68,72
2021-07-05,Miscellaneous,Sugar,per kg,68,70
2021-07-06,Miscellaneous,Sugar,per kg,68,70
2021-07-07,Miscellaneous,Sugar,per kg,68,70
2021-07-08,Miscellaneous,Sugar,per kg,68,70
2021-07-09,Miscellaneous,Sugar,per kg,70,72
2021-07-10,Miscellaneous,Sugar,per kg,68,70
2021-07-11,Miscellaneous,Sugar,per kg,70,72
2021-07-12,Miscellaneous,Sugar,per kg,68,72
2021-07-13,Miscellaneous,Sugar,per kg,68,70
2021-07-14,Miscellaneous,Sugar,per kg,68,70
2021-07-15,Miscellaneous,Sugar,per kg,68,70
2021-07-16,Miscellaneous,Sugar,per kg,68,70
2021-07-17,Miscellaneous,Sugar,per kg,68,70
2021-07-18,Miscellaneous,Sugar,per kg,68,72
2021-07-19,Miscellaneous,Sugar,per kg,68,70
2021-07-25,Miscellaneous,Sugar,per kg,68,70
2021-07-26,Miscellaneous,Sugar,per kg,68,70
2021-07-27,Miscellaneous,Sugar,per kg,70,72
2021-07-28,Miscellaneous,Sugar,per kg,70,72
2021-07-29,Miscellaneous,Sugar,per kg,70,72
2021-07-30,Miscellaneous,Sugar,per kg,70,72
2021-07-31,Miscellaneous,Sugar,per kg,70,72
2021-08-01,Miscellaneous,Sugar,per kg,70,72
2021-08-02,Miscellaneous,Sugar,per kg,70,72
2021-08-03,Miscellaneous,Sugar,per kg,70,72
2021-08-05,Miscellaneous,Sugar,per kg,70,72
2021-08-06,Miscellaneous,Sugar,per kg,70,72
2021-08-07,Miscellaneous,Sugar,per kg,70,72
2021-08-08,Miscellaneous,Sugar,per kg,70,72
2021-08-09,Miscellaneous,Sugar,per kg,68,72
2021-08-10,Miscellaneous,Sugar,per kg,70,72
2021-08-11,Miscellaneous,Sugar,per kg,70,72
2021-08-12,Miscellaneous,Sugar,per kg,70,72
2021-08-16,Miscellaneous,Sugar,per kg,72,75
2021-08-17,Miscellaneous,Sugar,per kg,72,75
2021-08-18,Miscellaneous,Sugar,per kg,73,75
2021-08-21,Miscellaneous,Sugar,per kg,75,80
2021-08-22,Miscellaneous,Sugar,per kg,75,80
2021-08-23,Miscellaneous,Sugar,per kg,75,80
2021-08-25,Miscellaneous,Sugar,per kg,75,80
2021-08-27,Miscellaneous,Sugar,per kg,77,80
2021-09-01,Miscellaneous,Sugar,per kg,75,80
2021-09-02,Miscellaneous,Sugar,per kg,77,80
2021-09-03,Miscellaneous,Sugar,per kg,78,80
2021-09-05,Miscellaneous,Sugar,per kg,78,80
2021-09-05,Miscellaneous,Sugar,per kg,78,80
2021-09-07,Miscellaneous,Sugar,per kg,78,80
2021-09-11,Miscellaneous,Sugar,per kg,78,80
2021-09-12,Miscellaneous,Sugar,per kg,78,80
2021-09-14,Miscellaneous,Sugar,per kg,74,80
2021-09-15,Miscellaneous,Sugar,per kg,75,78
2021-09-17,Miscellaneous,Sugar,per kg,75,80
2021-09-18,Miscellaneous,Sugar,per kg,75,80
2021-09-19,Miscellaneous,Sugar,per kg,75,80
2021-09-21,Miscellaneous,Sugar,per kg,75,80
2021-09-22,Miscellaneous,Sugar,per kg,75,80
2021-09-23,Miscellaneous,Sugar,per kg,75,80
2021-09-25,Miscellaneous,Sugar,per kg,75,80
2021-09-26,Miscellaneous,Sugar,per kg,75,80
2021-09-28,Miscellaneous,Sugar,per kg,75,80
2021-10-01,Miscellaneous,Sugar,per kg,75,80
2021-10-03,Miscellaneous,Sugar,per kg,75,80
2021-10-04,Miscellaneous,Sugar,per kg,75,80
2021-10-05,Miscellaneous,Sugar,per kg,75,80
2021-10-07,Miscellaneous,Sugar,per kg,78,80
2021-10-08,Miscellaneous,Sugar,per kg,78,80
2021-10-09,Miscellaneous,Sugar,per kg,78,80
2021-10-09,Miscellaneous,Sugar,per kg,79,80
2021-10-10,Miscellaneous,Sugar,per kg,79,80
2021-10-11,Miscellaneous,Sugar,per kg,79,80
2021-10-12,Miscellaneous,Sugar,per kg,79,80
2021-10-14,Miscellaneous,Sugar,per kg,79,80
2021-10-17,Miscellaneous,Sugar,per kg,80,82
2021-10-19,Miscellaneous,Sugar,per kg,79,80
2021-10-21,Miscellaneous,Sugar,per kg,80,82
2021-10-22,Miscellaneous,Sugar,per kg,80,82
2021-10-23,Miscellaneous,Sugar,per kg,78,80
2021-10-24,Miscellaneous,Sugar,per kg,78,80
2021-10-26,Miscellaneous,Sugar,per kg,80,85
2021-10-27,Miscellaneous,Sugar,per kg,80,85
2021-10-28,Miscellaneous,Sugar,per kg,80,85
2021-10-30,Miscellaneous,Sugar,per kg,80,85
2021-11-01,Miscellaneous,Sugar,per kg,75,80
2021-11-02,Miscellaneous,Sugar,per kg,75,80
2021-11-03,Miscellaneous,Sugar,per kg,78,80
2021-11-04,Miscellaneous,Sugar,per kg,78,80
2021-11-06,Miscellaneous,Sugar,per kg,76,85
2021-11-08,Miscellaneous,Sugar,per kg,78,80
2021-11-09,Miscellaneous,Sugar,per kg,75,80
2021-11-10,Miscellaneous,Sugar,per kg,75,80
2021-11-13,Miscellaneous,Sugar,per kg,75,80
2021-11-14,Miscellaneous,Sugar,per kg,75,80
2021-11-15,Miscellaneous,Sugar,per kg,75,80
2021-11-17,Miscellaneous,Sugar,per kg,75,80
2021-11-18,Miscellaneous,Sugar,per kg,75,80
2021-11-19,Miscellaneous,Sugar,per kg,75,80
2021-11-22,Miscellaneous,Sugar,per kg,75,80
2021-11-24,Miscellaneous,Sugar,per kg,75,80
2021-11-26,Miscellaneous,Sugar,per kg,75,80
2021-11-27,Miscellaneous,Sugar,per kg,76,80
2021-11-28,Miscellaneous,Sugar,per kg,75,80
2021-11-30,Miscellaneous,Sugar,per kg,75,80
2021-12-01,Miscellaneous,Sugar,per kg,75,80
2021-12-02,Miscellaneous,Sugar,per kg,75,80
2021-12-03,Miscellaneous,Sugar,per kg,75,80
2021-12-04,Miscellaneous,Sugar,per kg,75,80
2021-12-05,Miscellaneous,Sugar,per kg,75,80
2021-12-09,Miscellaneous,Sugar,per kg,75,80
2021-12-10,Miscellaneous,Sugar,per kg,75,80
2021-12-12,Miscellaneous,Sugar,per kg,75,80
2021-12-13,Miscellaneous,Sugar,per kg,75,80
2021-12-17,Miscellaneous,Sugar,per kg,75,80
2021-12-18,Miscellaneous,Sugar,per kg,75,80
2021-12-19,Miscellaneous,Sugar,per kg,75,80
2021-12-20,Miscellaneous,Sugar,per kg,75,80
2021-12-22,Miscellaneous,Sugar,per kg,75,80
2021-12-24,Miscellaneous,Sugar,per kg,75,80
2021-12-26,Miscellaneous,Sugar,per kg,75,80
2021-12-27,Miscellaneous,Sugar,per kg,75,80
2021-12-29,Miscellaneous,Sugar,per kg,75,80
2021-12-31,Miscellaneous,Sugar,per kg,75,80
2022-01-02,Miscellaneous,Sugar,per kg,75,80
2022-01-03,Miscellaneous,Sugar,per kg,75,80
2022-01-04,Miscellaneous,Sugar,per kg,75,78
2022-01-07,Miscellaneous,Sugar,per kg,75,78
2022-01-13,Miscellaneous,Sugar,per kg,75,78
2022-01-16,Miscellaneous,Sugar,per kg,75,78
2022-01-17,Miscellaneous,Sugar,per kg,75,78
2022-01-18,Miscellaneous,Sugar,per kg,75,78
2022-01-20,Miscellaneous,Sugar,per kg,75,78
2022-01-22,Miscellaneous,Sugar,per kg,75,78
2022-01-25,Miscellaneous,Sugar,per kg,75,78
2022-01-26,Miscellaneous,Sugar,per kg,75,78
2022-01-27,Miscellaneous,Sugar,per kg,75,78
2022-01-28,Miscellaneous,Sugar,per kg,75,78
2022-01-29,Miscellaneous,Sugar,per kg,75,78
2022-01-30,Miscellaneous,Sugar,per kg,75,78
2022-02-02,Miscellaneous,Sugar,per kg,75,78
2022-02-03,Miscellaneous,Sugar,per kg,75,78
2022-02-04,Miscellaneous,Sugar,per kg,75,78
2022-02-05,Miscellaneous,Sugar,per kg,75,78
2022-02-06,Miscellaneous,Sugar,per kg,75,78
2022-02-08,Miscellaneous,Sugar,per kg,75,78
2022-02-11,Miscellaneous,Sugar,per kg,75,78
2022-02-15,Miscellaneous,Sugar,per kg,75,78
2022-02-18,Miscellaneous,Sugar,per kg,75,80
2022-02-19,Miscellaneous,Sugar,per kg,75,80
2022-02-20,Miscellaneous,Sugar,per kg,75,80
2022-02-22,Miscellaneous,Sugar,per kg,75,80
2022-02-23,Miscellaneous,Sugar,per kg,75,80
2022-02-24,Miscellaneous,Sugar,per kg,75,80
2022-02-25,Miscellaneous,Sugar,per kg,75,80
2022-02-26,Miscellaneous,Sugar,per kg,75,80
2022-02-27,Miscellaneous,Sugar,per kg,75,80
2022-03-01,Miscellaneous,Sugar,per kg,75,80
2022-03-02,Miscellaneous,Sugar,per kg,75,80
2022-03-03,Miscellaneous,Sugar,per kg,78,80
2022-03-07,Miscellaneous,Sugar,per kg,78,80
2022-03-08,Miscellaneous,Sugar,per kg,78,80
2022-03-10,Miscellaneous,Sugar,per kg,78,80
2022-03-11,Miscellaneous,Sugar,per kg,78,80
2022-04-12,Miscellaneous,Sugar,per kg,78,80
2022-04-13,Miscellaneous,Sugar,per kg,78,80
2022-04-16,Miscellaneous,Sugar,per kg,78,80
2022-04-20,Miscellaneous,Sugar,per kg,78,80
2022-04-22,Miscellaneous,Sugar,per kg,78,80
2022-04-24,Miscellaneous,Sugar,per kg,78,80
2022-04-26,Miscellaneous,Sugar,per kg,78,80
2022-05-06,Miscellaneous,Sugar,per kg,78,82
2022-05-16,Miscellaneous,Sugar,per kg,78,82
2022-05-17,Miscellaneous,Sugar,per kg,78,82
2022-05-20,Miscellaneous,Sugar,per kg,78,80
2022-05-22,Miscellaneous,Sugar,per kg,78,80
2022-05-25,Miscellaneous,Sugar,per kg,78,80
2022-05-28,Miscellaneous,Sugar,per kg,78,80
2022-06-01,Miscellaneous,Sugar,per kg,79,82
2022-06-02,Miscellaneous,Sugar,per kg,79,82
2022-06-03,Miscellaneous,Sugar,per kg,79,82
2022-06-05,Miscellaneous,Sugar,per kg,79,82
2022-06-11,Miscellaneous,Sugar,per kg,80,84
2022-06-16,Miscellaneous,Sugar,per kg,80,84
2022-06-26,Miscellaneous,Sugar,per kg,80,84
2022-07-21,Miscellaneous,Sugar,per kg,80,82
2022-08-22,Miscellaneous,Sugar,per kg,88,90
2022-12-15,Miscellaneous,Sugar,per kg,110,115
2023-01-01,Miscellaneous,Sugar,per kg,110,115
2023-01-02,Miscellaneous,Sugar,per kg,110,115
2023-01-03,Miscellaneous,Sugar,per kg,110,115
2023-01-06,Miscellaneous,Sugar,per kg,110,115
2023-01-07,Miscellaneous,Sugar,per kg,110,115
2023-01-08,Miscellaneous,Sugar,per kg,110,115
2023-01-09,Miscellaneous,Sugar,per kg,110,115
2023-01-10,Miscellaneous,Sugar,per kg,110,115
2023-01-11,Miscellaneous,Sugar,per kg,107,115
2023-01-12,Miscellaneous,Sugar,per kg,107,115
2023-01-13,Miscellaneous,Sugar,per kg,107,115
2023-01-14,Miscellaneous,Sugar,per kg,107,115
2023-01-15,Miscellaneous,Sugar,per kg,107,115
2023-01-16,Miscellaneous,Sugar,per kg,107,115
2023-01-17,Miscellaneous,Sugar,per kg,107,115
2023-01-18,Miscellaneous,Sugar,per kg,107,115
2023-01-19,Miscellaneous,Sugar,per kg,107,115
2023-01-20,Miscellaneous,Sugar,per kg,107,115
2023-01-21,Miscellaneous,Sugar,per kg,107,115
2023-01-22,Miscellaneous,Sugar,per kg,110,120
2023-01-23,Miscellaneous,Sugar,per kg,110,120
2023-01-24,Miscellaneous,Sugar,per kg,110,120
2023-01-25,Miscellaneous,Sugar,per kg,110,120
2023-01-26,Miscellaneous,Sugar,per kg,110,120
2023-01-27,Miscellaneous,Sugar,per kg,110,120
2023-01-28,Miscellaneous,Sugar,per kg,110,120
2023-01-29,Miscellaneous,Sugar,per kg,110,120
2023-01-30,Miscellaneous,Sugar,per kg,110,120
2023-01-31,Miscellaneous,Sugar,per kg,110,120
2023-02-01,Miscellaneous,Sugar,per kg,110,120
2023-02-02,Miscellaneous,Sugar,per kg,110,120
2023-02-03,Miscellaneous,Sugar,per kg,110,120
2023-02-04,Miscellaneous,Sugar,per kg,110,120
2023-02-05,Miscellaneous,Sugar,per kg,110,120
2023-02-07,Miscellaneous,Sugar,per kg,110,120
2023-02-08,Miscellaneous,Sugar,per kg,110,120
2023-02-09,Miscellaneous,Sugar,per kg,110,120
2023-02-10,Miscellaneous,Sugar,per kg,110,120
2023-02-12,Miscellaneous,Sugar,per kg,110,120
2023-02-13,Miscellaneous,Sugar,per kg,110,120
2023-02-14,Miscellaneous,Sugar,per kg,110,120
2023-02-15,Miscellaneous,Sugar,per kg,110,120
2023-02-16,Miscellaneous,Sugar,per kg,110,120
2023-02-17,Miscellaneous,Sugar,per kg,110,120
2023-02-18,Miscellaneous,Sugar,per kg,110,120
2023-02-19,Miscellaneous,Sugar,per kg,110,120
2023-02-20,Miscellaneous,Sugar,per kg,110,120
2023-02-22,Miscellaneous,Sugar,per kg,110,120
2023-02-23,Miscellaneous,Sugar,per kg,110,120
2023-02-24,Miscellaneous,Sugar,per kg,110,120
2023-02-25,Miscellaneous,Sugar,per kg,110,120
2023-02-26,Miscellaneous,Sugar,per kg,110,120
2023-02-27,Miscellaneous,Sugar,per kg,110,120
2023-02-28,Miscellaneous,Sugar,per kg,110,120
2023-03-01,Miscellaneous,Sugar,per kg,110,120
2023-03-02,Miscellaneous,Sugar,per kg,110,120
2023-03-03,Miscellaneous,Sugar,per kg,110,120
2023-03-04,Miscellaneous,Sugar,per kg,110,120
2023-03-05,Miscellaneous,Sugar,per kg,115,120
2023-03-07,Miscellaneous,Sugar,per kg,115,120
2023-03-09,Miscellaneous,Sugar,per kg,115,120
2023-03-10,Miscellaneous,Sugar,per kg,110,115
2023-03-11,Miscellaneous,Sugar,per kg,115,120
2023-03-12,Miscellaneous,Sugar,per kg,115,120
2023-03-13,Miscellaneous,Sugar,per kg,115,120
2023-03-14,Miscellaneous,Sugar,per kg,115,120
2023-03-15,Miscellaneous,Sugar,per kg,115,120
2023-03-16,Miscellaneous,Sugar,per kg,115,120
2023-03-18,Miscellaneous,Sugar,per kg,115,120
2023-03-19,Miscellaneous,Sugar,per kg,115,120
2023-03-20,Miscellaneous,Sugar,per kg,115,120
2023-03-21,Miscellaneous,Sugar,per kg,115,120
2023-03-22,Miscellaneous,Sugar,per kg,115,120
2023-03-23,Miscellaneous,Sugar,per kg,115,120
2023-03-25,Miscellaneous,Sugar,per kg,115,118
2023-03-27,Miscellaneous,Sugar,per kg,110,118
2023-03-28,Miscellaneous,Sugar,per kg,112,118
2023-03-29,Miscellaneous,Sugar,per kg,112,118
2023-03-30,Miscellaneous,Sugar,per kg,110,114
2023-03-31,Miscellaneous,Sugar,per kg,110,114
2023-04-01,Miscellaneous,Sugar,per kg,110,114
2023-04-02,Miscellaneous,Sugar,per kg,112,115
2023-04-03,Miscellaneous,Sugar,per kg,112,115
2023-04-04,Miscellaneous,Sugar,per kg,112,115
2023-04-05,Miscellaneous,Sugar,per kg,112,115
2023-04-06,Miscellaneous,Sugar,per kg,112,115
2023-04-07,Miscellaneous,Sugar,per kg,112,115
2023-04-08,Miscellaneous,Sugar,per kg,112,115
2023-04-09,Miscellaneous,Sugar,per kg,112,115
2023-04-10,Miscellaneous,Sugar,per kg,112,115
2023-04-11,Miscellaneous,Sugar,per kg,110,115
2023-04-12,Miscellaneous,Sugar,per kg,110,115
2023-04-13,Miscellaneous,Sugar,per kg,110,115
2023-04-15,Miscellaneous,Sugar,per kg,112,115
2023-04-16,Miscellaneous,Sugar,per kg,112,115
2023-04-17,Miscellaneous,Sugar,per kg,112,115
2023-04-18,Miscellaneous,Sugar,per kg,115,120
2023-04-24,Miscellaneous,Sugar,per kg,115,120
2023-04-25,Miscellaneous,Sugar,per kg,120,125
2023-04-26,Miscellaneous,Sugar,per kg,120,130
2023-04-27,Miscellaneous,Sugar,per kg,115,125
2023-04-28,Miscellaneous,Sugar,per kg,120,125
2023-04-29,Miscellaneous,Sugar,per kg,120,125
2023-04-30,Miscellaneous,Sugar,per kg,125,135
2023-05-02,Miscellaneous,Sugar,per kg,125,135
